soru,s1,s2,s3,s4,answer,Type,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,d1,d2,d3
Saksýda ve bahçede çiçek yetiþtirip bakýmýný üstlenir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.249,0,0,0,0,0,0,1.939,0.457,-0.698
Havuzlarda balýk üretme yöntemlerini gösteren bir filmi ilgi ile izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.629,0,0,0,0,0,0,0.862,-0.812,-2.041
 Açýk havada çalýþmaktan hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0.604,0,0,0,0,0,0,2.766,1.155,-0.084
 Bir makinanýn þemasýna bakarak makineyi kurabilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.298,0,0,0,0,0,2.602,0.441,-1.292
"Kapý zili, kilit gibi ev aletlerini onarmaya çalýþýr mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,1.223,-0.166,-1.355
Tahtadan veya metalden oyuncaklar yapabilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.713,0,0,0,0,0,1.468,-0.471,-1.742
Bir aleti parçalara ayýrýp tekrar birleþtirebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.695,0,0,0,0,0,2.605,0.864,-0.693
"Yeni bir alet veya makine ile karþýlaþtýðýnýzda, hemen onun nasýl çalýþtýðýný öðrenmeye çalýþýr mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,2.953,0.898,-0.528
 Elektrikli aletlerin nasýl iþlediklerini inceler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,2.184,0,0,0,0,0,2.126,-0.002,-1.491
"Her türlü araç ve gereç saðlansa, bir eþya(örneðin kafes/gemi) yapmayý dener misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.569,0,0,0,0,0,2.011,0.294,-0.95
"Bir makinanýn, örneðin bir elektrik motorunun, evrimini gösteren bir sergiyi gezmek ister misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,1.566,0.171,-0.974
Bir makinanýn çalýþmasýný geliþtirici yöntemler düþünür müsünüz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,1.834,-0.225,-1.894
"Çevrenizdeki çeþitli makinalarýn bakýmýný yapar, onlarý bozmadan kullanabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.698,0,0,0,0,0,2.118,0.161,-1.516
"Bir aleti, tarifesine ve þemasýna bakarak çalýþtýrabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,1.513,0,0,0,0,0,2.885,0.861,-0.936
"Bir yazýdaki hatalarý düzeltmekten, bir hesabý kontrol etmekten hoþlanýr mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.128,0,0,0,0,1.992,0.195,-1.058
 Yaptýðýnýz herhangi bir iþin temiz ve özenli olmasý için gereken özeni gösterir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.438,0,0,0,0,3.601,1.764,0.075
Bir iþin ince ayrýntýlarý ile uðraþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.112,0,0,0,0,2.106,0.467,-0.907
 Paranýzý nerelerde harcadýðýnýzýn kaydýný tutar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0.937,0,0,0,0,1.383,-0.001,-1.266
 Derslerinize günü gününe çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.366,0,0,0,0,1.797,-0.192,-2.054
 Mektuplarýnýzý eski okul karnelerinizi tarih sýrasýna koyup saklar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.164,0,0,0,0,1.615,0.543,-0.3
Aldýðýnýz her þeyin ya da yaptýðýnýz her iþin düzenli bir biçimde kaydýný tutar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.471,0,0,0,0,1.544,-0.547,-2.057
Ödevlerinizi zamanýnda ve düzgün biçimde yapar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.383,0,0,0,0,2.859,0.991,-0.994
" Eþyalarýnýzý yerli yerine koyar, çevrenizi düzenli tutar mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.259,0,0,0,0,2.611,0.701,-0.843
" Mektuplarý zamanýnda cevaplandýrmaya, çaðrýldýðýnýz bir yere söz verdiðiniz saatte gitmeye çalýþýr mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,1.023,0,0,0,0,2.613,1.49,0.003
Anýlarýnýzý yazar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.127,0,0,0,0.958,-0.653,-1.647
 Okulda þiir okuma yarýþmalarý düzenleyen bir grubun üyesi olmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.664,0,0,0,0.489,-0.966,-2.073
Televizyonda veya radyoda þiir saatlerini izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.398,0,0,0,-0.589,-2.166,-3.22
Kendini gelecekte bir yazar olarak düþlediðiniz olur mu?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.872,0,0,0,0.575,-1.168,-2.471
Küçük hikayeler yazmayý dener misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.834,0,0,0,1.592,-0.418,-1.781
"Roman, hikaye veya þiir okur musunuz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.291,0,0,0,2.516,0.611,-0.706
Kompozisyon derslerinde baþarýlý mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.582,0,0,0,1.964,-0.151,-1.642
Okul gazetesine yazý yazar mýsýnýz? (Yazmak ister misiniz?),Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.955,0,0,0,0.528,-1.156,-2.389
Gazete ve dergilerdeki edebiyat sütunlarýný okur musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.678,0,0,0,0.548,-1.394,-2.722
Okul kitaplýðýna gider ve kitap alýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,1.164,0,0,0,0.564,-0.945,-2.113
Yaptýðýnýz her hangi bir þeyi özenle süsler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982,0,0,3.005,0.885,-0.496
"Ünlü sanatçýlarýn, ressamlarýn hayatýný merak eder misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161,0,0,1.313,-0.391,-1.518
"Boþ vakitlerinizde çiçek, nakýþ, resim, heykel vb. yapar mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,1.853,0,0,0.815,-1.082,-2.335
 Televizyonda resim sanatý ile ilgili haberleri ilgi ile izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,2.131,0,0,0.806,-1.387,-2.823
"Gittiðiniz bir kentte sanat galerilerini, resim sergilerini gezmek ister misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,1.677,0,0,1.941,0.073,-1.253
 Resim ve mimarlýk sanatýnýn geliþimini anlatan bir kitabý zevkle okur musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583,0,0,1.01,-0.668,-1.79
 Boþ vakitlerinizi resim veya el iþleri yaparak geçirmeye çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,2.129,0,0,1.23,-0.635,-1.974
Bir evi ya da salonu süslemekten hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,1.053,0,0,2.111,0.567,-0.576
"Odanýzý, yaptýðýnýz resim veya el iþleri ile süsler misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,1.558,0,0,1.084,-0.441,-1.497
El sanatlarý ya da resim kurslarýna gitmek ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,2.193,0,0,1.037,-0.755,-2.006
Radyo ve televizyonda müzik programlarýný isler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0.427,-0.982,-1.973
Müzik yarýþmalarýna katýlmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786,0,0.43,-1.01,-2.133
Müzik dersleri alýyor musunuz veya almak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.468,0,1.038,-0.144,-1.103
Bir müzik aleti çalar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.086,0,0.952,-0.267,-0.999
Müzik aletleri sergisini gezmek ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,1.393,-0.398,-1.532
Çeþitli ülkelerin halk þarkýlarýný tanýtan bir program izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.357,0,0.834,-0.84,-2.039
 Ýmkanlarýnýz ölçüsünde konserlere gitmeye çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,1.55,0.239,-0.88
 Ufak tefek besteler yapmaya çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.668,0,0.782,-0.792,-2.03
Baþkalarýna dinletecek düzeyde bir müzik aleti çalýyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342,0,0.13,-1.193,-2.104
Yeni duyduðunuz bir müzik parçasýný çalmaya veya söylemeye çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.426,0,2.371,0.707,-0.696
Aðlayan bir çocuðu oyalayabilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366,3.063,1.451,-0.198
Yaþlýlar yurdunda eðlence günleri düzenlemekten hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.712,1.665,-0.11,-1.525
Baþkalarýna kiþisel sorunlarýn çözümünde yardýmcý olabiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.341,1.072,-0.807
 Çocuk gürültüsüne katlanabilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878,1.051,-0.223,-1.505
 Belli bir anda pek çok þeye birden dikkat edebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782,2.91,0.615,-1.011
"Bir hastaya bakabilir, ilaçlarýný zamanýnda verebilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.415,2.466,0.535,-0.935
"Bir hastanede, yaz aylarýnda gönüllü olarak çalýþmak ister misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,1.007,-0.4,-1.472
Karþýnýzdaki insanlarýn ne düþündükleri ve ne hissettiklerini anlayabilir misiniz.,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878,3.247,1.253,-0.559
Hastalar ve yaþlýlara kitap okumaktan hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.917,1.598,-0.369,-1.804
"Küçük çocuklara oyun öðretmekten, onlara þarký söylemekten hoþlanýr mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543,1.94,0.507,-0.738
Ayakta ve hareketli olarak çalýþmaktan hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813,2.143,0.396,-0.988
